,0,1,2,3,4,5,6
0,0.768,0.75,0.75,0.752,0.714,0.764,0.782
1,0.47,0.428,0.44,0.464,0.44,0.46,0.46
2,0.316,0.33,0.286,0.342,0.306,0.29,0.34
3,0.272,0.218,0.228,0.198,0.218,0.238,0.264
4,0.246,0.184,0.2,0.184,0.248,0.236,0.22
