,0,1,2,3,4
0,1.0,1.0230122540929107,1.023005080711825,1.1124445919088632,1.09026511387857
1,1.0627360654316662,1.102438314214409,1.1885780847500351,1.507574094508722,1.717538848341343
2,1.9825737874483005,2.1376902677569136,2.364147925186449,2.4222382012756287,2.496751108066046
3,1.0,1.0,1.04460879887803,1.024939386089334,1.0553638626015414
4,1.5383483538627152,1.4861573095570644,1.659994508099146,1.950724076232387,2.1216913855455948
5,1.9252238141253184,1.9577327314537807,2.1307246911365074,2.2128813119571307,2.32583666988788
6,1.0443578604445038,1.127066664488926,1.3426250764634333,1.4866942063023891,1.6542473952144523
7,1.42964283937922,1.4763767748042305,1.5800660144124374,1.9043120561624685,2.09273455626742
8,1.1360368296058685,1.1508288677733314,1.3588476230318371,1.5476872647881785,1.7422949342535303
9,2.620859049320838,2.56133235232853,2.8442422948224135,3.1195018952271596,3.1327097054840816
