0,1,2,3
0.196,0.18,0.222,0.208
0.25,0.304,0.386,0.36
0.27,0.372,0.424,0.408
0.292,0.386,0.476,0.492
0.324,0.39,0.468,0.474
0.306,0.434,0.46,0.468
0.314,0.442,0.548,0.55
0.298,0.45,0.53,0.504
0.34,0.466,0.532,0.576
