,0,1,2,3,4
0,1.0,2.5178075753248197,2.6155283290974216,2.890747335292287,2.629553240104015
1,1.0,1.0373588739376614,3.463778660876569,4.319073708552607,4.090086144727982
2,1.0,1.9880135048106422,2.031443575245367,2.3051159135647477,2.395818720701112
3,1.0,1.9763860531693496,1.8854498237279456,1.8125059886799058,2.004362093560541
4,1.0,1.4447452684738111,1.5801248333357492,1.7231991480407454,1.7570546458691503
5,1.0,1.542386158823745,1.860545709714159,1.9115245976664208,1.8689229286873466
6,1.0,1.9517923160255954,1.8827871594527166,1.758606477712301,1.609972093976469
7,1.0,1.212377996516553,2.9461105869284525,2.8479431259669803,2.7585006028645775
8,1.0,1.5725535132218376,1.9994240276432211,1.8745484806318844,1.750895260097415
9,1.0,3.003388644691942,2.9115999337677523,2.950920681964589,2.9563139437379244
