,0,1,2,3
0,0.166,0.204,0.204,0.21
1,0.164,0.164,0.178,0.176
2,0.166,0.156,0.176,0.15
3,0.156,0.128,0.104,0.132
4,0.142,0.13,0.134,0.124
5,0.16,0.122,0.12,0.104
6,0.194,0.138,0.092,0.1
7,0.138,0.112,0.114,0.094
8,0.18,0.132,0.108,0.1
