,0,1,2,3
0,0.24,0.176,0.198,0.18
1,0.252,0.178,0.194,0.22
2,0.168,0.168,0.198,0.22
3,0.148,0.182,0.206,0.224
4,0.194,0.16,0.174,0.214
5,0.166,0.132,0.172,0.214
6,0.188,0.128,0.148,0.144
7,0.186,0.098,0.112,0.124
8,0.144,0.126,0.108,0.146
