,0,1,2,3
0,0.226,0.306,0.338,0.36
1,0.224,0.318,0.356,0.396
2,0.206,0.312,0.352,0.406
3,0.218,0.342,0.348,0.438
4,0.26,0.366,0.376,0.364
5,0.266,0.362,0.376,0.452
6,0.37,0.406,0.45,0.522
7,0.576,0.574,0.648,0.646
