,0,1,2,3,4,5,6,7,8,9
0,4.20741766471465,3.863545473837121,3.8838064708128623,3.8756356119126383,3.892221486262866,3.8867882996953926,3.8993864925339268,3.821474630851657,3.7739878974077636,3.777166513500162
1,2.153919177301761,2.2357281367633393,2.2200482458760185,2.2412716059353412,2.2777820227982657,2.2376781288013907,2.2113992899883543,2.2235348169408184,2.2327774424830147,2.265086606294705
2,2.92605016979623,2.882389851162015,2.886182979753638,2.882611959917297,2.9231518437115867,2.918926480041316,2.9363635883439945,2.9442463811163466,2.944248013512315,2.925924347815118
3,2.6700383825884346,2.7053814903581985,2.7219566231382952,2.7256243272009346,2.660562834529707,2.6812322215230866,2.7083802760009434,2.714422793182605,2.709690594491053,2.6902223260391405
4,3.396627948877595,3.551068430109275,3.5043609497232455,3.5414704357277085,3.5464703152484027,3.4965208454094396,3.4770430161892723,3.4367000936915746,3.4186143854589455,3.387673122291282
5,2.794810224138675,2.850830772575192,2.917686824908253,2.910717607413816,2.8754811021297053,2.8985556904927,2.8916991264179854,2.9078239695088692,2.9223663136795093,2.917181413897522
6,2.9231518437115867,2.8975709451033547,2.8283014159426685,2.8449770726323225,2.8704115375925205,2.8699212152509626,2.8910204636169676,2.9085756405477503,2.891782343774368,2.8848590764077917
7,3.235815875599667,3.2251011510274963,3.0036307293067797,3.064313151084947,3.0742565112773987,3.0953680682754605,3.1270064775818693,3.1061114299391446,3.092422355490693,3.1173390801292817
8,3.1066668691092545,3.480365021033708,3.6332630514499256,3.582120372263969,3.521171761818333,3.478831477259604,3.5471031704074294,3.5682879571492294,3.5803782550538443,3.5516265682140173
9,2.653780178388912,2.6411129490949876,2.605969049151437,2.5631583701804663,2.5508819869642347,2.4856933480019747,2.531401545314298,2.5502716607150164,2.5353124030822722,2.5044070125878357
